"pathway","pval","padj","log2err","ES","NES","size","Category"
"CATALYTIC_COMPLEX",1e-10,8.99090909090909e-09,NA,0.519130428653092,1.51472818448762,1116,"CC"
"CILIUM",1e-10,8.99090909090909e-09,NA,0.582667655973414,1.68572631869129,442,"CC"
"ENVELOPE",1e-10,8.99090909090909e-09,NA,0.573810669690965,1.67373875579039,892,"CC"
"INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",1e-10,8.99090909090909e-09,NA,0.735192189817113,1.97783349346578,131,"CC"
"MITOCHONDRIAL_ENVELOPE",1e-10,8.99090909090909e-09,NA,0.633250033424663,1.83582230644131,596,"CC"
"MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",1e-10,8.99090909090909e-09,NA,0.717742238476434,2.01827998329923,252,"CC"
"MITOCHONDRION",1e-10,8.99090909090909e-09,NA,0.574902912656237,1.67855172156524,1185,"CC"
"ORGANELLE_INNER_MEMBRANE",1e-10,8.99090909090909e-09,NA,0.656294467676243,1.89570740371191,425,"CC"
"RIBONUCLEOPROTEIN_COMPLEX",1e-10,8.99090909090909e-09,NA,0.631643488295268,1.83112410017435,576,"CC"
"RIBOSOMAL_SUBUNIT",1e-10,8.99090909090909e-09,NA,0.693834441098651,1.90044179265096,164,"CC"
"RIBOSOME",1e-10,8.99090909090909e-09,NA,0.685070388726834,1.88885300235637,190,"CC"
"MITOCHONDRIAL_MATRIX",6.65563048075626e-10,5.48534878788995e-08,0.801215574617779,0.574993821205683,1.65225847338409,385,"CC"
"AEROBIC_RESPIRATION",1e-10,7.489e-08,NA,0.728787387767986,2.0032592519353,150,"BP"
"AMIDE_BIOSYNTHETIC_PROCESS",1e-10,7.489e-08,NA,0.558125030546833,1.6219729146205,592,"BP"
"ATP_METABOLIC_PROCESS",1e-10,7.489e-08,NA,0.680656324796569,1.9167005189287,192,"BP"
"CELLULAR_RESPIRATION",1e-10,7.489e-08,NA,0.707894873687368,1.97910125627802,179,"BP"
"ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",1e-10,7.489e-08,NA,0.673578597017653,1.91112332310965,227,"BP"
"GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY",1e-10,7.489e-08,NA,0.622296620994791,1.78619225087207,328,"BP"
"ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS",1e-10,7.489e-08,NA,0.521177816660457,1.52498555258469,1073,"BP"
"OXIDATIVE_PHOSPHORYLATION",1e-10,7.489e-08,NA,0.738259044448448,1.98459737619087,111,"BP"
"PEPTIDE_BIOSYNTHETIC_PROCESS",1e-10,7.489e-08,NA,0.564299390962788,1.63349968823379,519,"BP"
"PROTEIN_CONTAINING_COMPLEX_ORGANIZATION",1e-10,7.489e-08,NA,0.513748305614003,1.50314713757371,1103,"BP"
"RNA_BINDING",1e-10,8.37e-08,NA,0.555104549273233,1.62266751206703,1291,"MF"
"STRUCTURAL_CONSTITUENT_OF_RIBOSOME",1e-10,8.37e-08,NA,0.70800628669899,1.94453033881593,149,"MF"
"PEPTIDE_METABOLIC_PROCESS",1.72132597716556e-10,1.17191002209026e-07,0.826657301178302,0.542394539493221,1.57532726700775,611,"BP"
"MEMBRANE_PROTEIN_COMPLEX",3.57378038807433e-09,2.71882215677347e-07,0.774939030136436,0.521514344648724,1.51235496925736,627,"CC"
"CELLULAR_AMIDE_METABOLIC_PROCESS",6.53646774995641e-10,4.07930058161863e-07,0.801215574617779,0.518432849082556,1.51150336040411,761,"BP"
"MITOCHONDRION_ORGANIZATION",1.05251357085625e-09,6.06328779395576e-07,0.788186810800237,0.575609700355163,1.65957699186806,387,"BP"
"MICROTUBULE_CYTOSKELETON",1.09141264982424e-08,7.71005079054406e-07,0.747739663149885,0.487683710810603,1.42213228092591,915,"CC"
"SPLICEOSOMAL_COMPLEX",1.63442156279902e-08,1.07762861707215e-06,0.73376198835648,0.653009108217477,1.78924491200024,169,"CC"
"LARGE_RIBOSOMAL_SUBUNIT",3.21362197309266e-08,1.9864200821179e-06,0.719512826338911,0.703164258691159,1.84847242330093,105,"CC"
"NUCLEAR_PROTEIN_CONTAINING_COMPLEX",4.1479965114134e-08,2.41315797046344e-06,0.719512826338911,0.485080142059085,1.41561111790012,937,"CC"
"ORGANELLAR_RIBOSOME",7.60064437932082e-08,4.17613182841571e-06,0.704975715167238,0.734708320351993,1.8860410683253,81,"CC"
"RESPIRASOME",1.28853766174514e-07,6.70717761824182e-06,0.690132458796796,0.729271543722514,1.87434764169032,82,"CC"
"ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",2.71379860703055e-08,1.4516884120037e-05,0.73376198835648,0.742449827142182,1.92754890747327,74,"BP"
"MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT",3.12697417009181e-07,1.5462887271104e-05,0.674962860011025,0.761098883334008,1.86291494921489,54,"CC"
"CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS",3.10449144666439e-08,1.54996909627131e-05,0.719512826338911,0.47837099673471,1.39865764354098,1025,"BP"
"SM_LIKE_PROTEIN_FAMILY_COMPLEX",5.84227669541472e-07,2.75143411988817e-05,0.659444398037935,0.714226075632272,1.81460012901769,75,"CC"
"MRNA_PROCESSING",5.88485080067779e-08,2.75447797789225e-05,0.719512826338911,0.558076856329514,1.60636044976339,373,"BP"
"U2_TYPE_SPLICEOSOMAL_COMPLEX",7.05435795197419e-07,3.17125455204658e-05,0.659444398037935,0.697944592188924,1.80697275004786,87,"CC"
"OXIDOREDUCTASE_COMPLEX",8.09187204143934e-07,3.47950497781892e-05,0.659444398037935,0.692614836579484,1.79579238908454,91,"CC"
"CILIARY_BASAL_BODY",9.80161384026852e-07,4.03908170334399e-05,0.643551836150722,0.642751583664238,1.73772810657823,133,"CC"
"ELECTRON_TRANSFER_ACTIVITY",1.43018255675719e-07,4.78825120002308e-05,0.690132458796796,0.7096332296326,1.86037906818022,88,"MF"
"OXIDOREDUCTASE_ACTIVITY",1.23920436393721e-07,4.78825120002308e-05,0.690132458796796,0.544204976626418,1.56437405692925,390,"MF"
"TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING",1.36860171612539e-07,4.78825120002308e-05,0.690132458796796,0.69957833430319,1.84160186009988,92,"MF"
"CILIUM_ORGANIZATION",1.29588125215959e-07,5.39158594301286e-05,0.690132458796796,0.571330712632255,1.63787739213173,316,"BP"
"MICROTUBULE_BASED_PROCESS",1.27900103544809e-07,5.39158594301286e-05,0.690132458796796,0.514072544178616,1.49426207133517,591,"BP"
"RNA_SPLICING",1.74214500249592e-07,6.86680206510102e-05,0.690132458796796,0.558678616344921,1.60255873844819,330,"BP"
"RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",1.83792856694176e-07,6.88212351891343e-05,0.690132458796796,0.58978922000356,1.67720345438195,242,"BP"
"RESPIRATORY_ELECTRON_TRANSPORT_CHAIN",2.02028995724747e-07,7.20473880467919e-05,0.690132458796796,0.709562593092004,1.87439890789768,89,"BP"
