"pathway","pval","padj","log2err","ES","NES","size","Category"
"ENDOPLASMIC_RETICULUM",1e-10,8.39693798444139e-08,NA,0.432398727931041,1.80425062016334,915,"CC"
"NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",1.701507190363e-10,8.39693798444139e-08,0.826657301178302,0.449488452165859,1.79752773852019,589,"CC"
"ORGANELLE_SUBCOMPARTMENT",1.42029223068865e-09,4.67276143896564e-07,0.788186810800237,0.414958436199561,1.69152426938092,721,"CC"
"REGULATION_OF_TRANSPORT",3.00746191073672e-10,2.22732629109161e-06,0.814035837847908,0.420984813108289,1.71405142227332,724,"BP"
"SECRETORY_GRANULE",6.49645738665253e-08,1.60300086015651e-05,0.704975715167238,0.472734662826711,1.81870827079333,345,"CC"
"SECRETORY_VESICLE",3.03758728121696e-07,5.99619729312227e-05,0.674962860011025,0.442818593923389,1.72243287606512,419,"CC"
"ENDOPLASMIC_RETICULUM_LUMEN",4.78999069029392e-07,7.8795346855335e-05,0.659444398037935,0.628794846575967,2.08128298589696,110,"CC"
"GOLGI_APPARATUS",1.33619405173492e-06,0.000188403361294623,0.643551836150722,0.368491199496389,1.50940351466629,752,"CC"
"SIDE_OF_MEMBRANE",2.35711897749646e-06,0.000290809553848626,0.627256739718528,0.515602644919681,1.88411085327719,198,"CC"
"GOLGI_MEMBRANE",3.25585534656837e-06,0.000357058803006998,0.627256739718528,0.454657715137836,1.73536540654426,327,"CC"
"NEURON_PROJECTION",4.33906899455673e-06,0.000389332827057044,0.610526878385931,0.386425519556107,1.54229632991897,579,"CC"
"PERINUCLEAR_REGION_OF_CYTOPLASM",4.2535160217495e-06,0.000389332827057044,0.610526878385931,0.439903468267445,1.69846265019792,349,"CC"
"ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX",6.80813024241417e-06,0.000559968712438565,0.610526878385931,0.956724511930586,1.93530836084977,8,"CC"
"INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE",1.48280505310356e-05,0.00112579122108709,0.593325476396405,0.487938106451034,1.78147262411126,212,"CC"
"CELL_BODY",1.94936607523338e-05,0.00137430308303953,0.575610261071129,0.47133193041678,1.73365189437704,237,"CC"
"RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",5.04783049489912e-07,0.00186921163226114,0.659444398037935,0.579103486146954,2.06157949097193,156,"BP"
"SOMATODENDRITIC_COMPARTMENT",3.77287564158926e-05,0.00248255217216573,0.557332238758646,0.412280534937787,1.59817013433844,370,"CC"
"ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX",0.000122813517477729,0.00757605885940742,0.518848077743792,0.622608145990194,1.95882644469244,75,"CC"
"VESICLE_MEMBRANE",0.000162216870649852,0.00941812066655318,0.518848077743792,0.361992289333354,1.4292381196975,549,"CC"
"MEMBRANE_PROTEIN_COMPLEX",0.000197496276935356,0.0108293791852887,0.518848077743792,0.363229773382793,1.44114340460282,527,"CC"
"CARBOHYDRATE_METABOLIC_PROCESS",9.53845037855577e-06,0.0120019701714404,0.593325476396405,0.471916432765875,1.73363268555235,261,"BP"
"DEVELOPMENTAL_GROWTH",1.39042247132181e-05,0.0120019701714404,0.593325476396405,0.469649086775193,1.72717840536441,253,"BP"
"GROWTH",1.94468865861848e-05,0.0120019701714404,0.575610261071129,0.419766499136034,1.59816265734489,375,"BP"
"ION_TRANSPORT",7.46911116450127e-06,0.0120019701714404,0.610526878385931,0.384695972890197,1.5149181680173,545,"BP"
"NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION",1.78456994677523e-05,0.0120019701714404,0.575610261071129,0.414962456244223,1.5906135998982,395,"BP"
"NEUROGENESIS",1.73777814135173e-05,0.0120019701714404,0.575610261071129,0.358966381619226,1.44719546625248,676,"BP"
"NITROGEN_COMPOUND_TRANSPORT",9.20609266949816e-06,0.0120019701714404,0.593325476396405,0.344900543003946,1.41595455917356,913,"BP"
"PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM",1.63708017975467e-05,0.0120019701714404,0.575610261071129,0.912988681672769,1.94083627141647,11,"BP"
"SECRETION",1.46380097274992e-05,0.0120019701714404,0.593325476396405,0.425880053934075,1.61463225501733,353,"BP"
"SMALL_MOLECULE_METABOLIC_PROCESS",1.7451237011765e-05,0.0120019701714404,0.575610261071129,0.357668035373648,1.45177655922554,693,"BP"
"POSITIVE_REGULATION_OF_TRANSPORT",2.19957413906382e-05,0.0125308046722359,0.575610261071129,0.420902803644608,1.60437221606142,373,"BP"
"EXPORT_FROM_CELL",2.95238187163726e-05,0.013665837588341,0.575610261071129,0.423631587012951,1.59894597477364,335,"BP"
"METAL_ION_TRANSPORT",2.833976842766e-05,0.013665837588341,0.575610261071129,0.432181316020046,1.61713343939724,310,"BP"
"TRANSMEMBRANE_TRANSPORT",2.94757489897891e-05,0.013665837588341,0.575610261071129,0.377484162777143,1.4943999575228,556,"BP"
"INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",0.00028585276317199,0.0148492988026713,0.49849310876659,0.552329578456051,1.80686723752221,100,"CC"
"CATION_TRANSPORT",3.78630224529598e-05,0.0162386110386337,0.557332238758646,0.398625158707423,1.54572432377694,429,"BP"
"MULTICELLULAR_ORGANISM_GROWTH",4.59084171892096e-05,0.0162386110386337,0.557332238758646,0.650249036789016,2.02091580750084,65,"BP"
"POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",3.94819996147368e-05,0.0162386110386337,0.557332238758646,0.380204525471943,1.48766054779468,466,"BP"
"REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",4.62546593312716e-05,0.0162386110386337,0.557332238758646,0.353144366847103,1.42367432392359,674,"BP"
"SENSORY_PERCEPTION",4.82378399743373e-05,0.0162386110386337,0.557332238758646,0.521773899531279,1.83256025804054,141,"BP"
"SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS",4.21621272024427e-05,0.0162386110386337,0.557332238758646,0.695697709248147,2.08530725459364,52,"BP"
"APOPTOTIC_SIGNALING_PATHWAY",5.26713814606183e-05,0.0167745704757303,0.557332238758646,0.452187125378629,1.65723372005024,234,"BP"
"CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS",6.56849235479582e-05,0.0167745704757303,0.538434096309916,0.429184180490443,1.58471733214965,292,"BP"
"CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS",5.81050652666984e-05,0.0167745704757303,0.557332238758646,0.390683130095791,1.51206332150613,445,"BP"
"NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",6.1086467802202e-05,0.0167745704757303,0.538434096309916,0.413913754525825,1.56639745917671,341,"BP"
"ORGANIC_HYDROXY_COMPOUND_TRANSPORT",6.49302391659997e-05,0.0167745704757303,0.538434096309916,0.59036885547223,1.92695449195738,88,"BP"
"PROGRAMMED_CELL_DEATH",6.55921178938697e-05,0.0167745704757303,0.538434096309916,0.348020853917421,1.41523961398379,713,"BP"
"RESPONSE_TO_NITROGEN_COMPOUND",6.1114458244093e-05,0.0167745704757303,0.538434096309916,0.391163443688334,1.52210142094592,458,"BP"
"ORGANOPHOSPHATE_METABOLIC_PROCESS",6.79811720856744e-05,0.0167822853488835,0.538434096309916,0.392915390419567,1.52449411826395,413,"BP"
"AXON",0.000354513181122049,0.0174952254883731,0.49849310876659,0.411128402384699,1.54804303205853,292,"CC"
"NEGATIVE_REGULATION_OF_TRANSPORT",7.79220794622184e-05,0.0186158361450706,0.538434096309916,0.489163895298745,1.74217764574262,179,"BP"
"MONOSACCHARIDE_METABOLIC_PROCESS",9.2139182529116e-05,0.0213244620565823,0.538434096309916,0.541756602047474,1.8594520303139,114,"BP"
"SIGNALING_RECEPTOR_BINDING",1.34572393139198e-05,0.0222179021072816,0.593325476396405,0.400902890103022,1.55884456474942,449,"MF"
"NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING",0.00010058030939135,0.0225726597379497,0.538434096309916,0.937473752054566,1.84443274589601,8,"BP"
"NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",0.00010755579243067,0.0231605694220314,0.538434096309916,0.363445671957489,1.44845622772229,594,"BP"
"REGULATION_OF_CELL_DEATH",0.000109454486871604,0.0231605694220314,0.538434096309916,0.360411731957879,1.43526522258447,574,"BP"
"REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",0.000117457079432799,0.0241635313966475,0.538434096309916,0.482168904512512,1.71712785606364,176,"BP"
"CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT",0.00013447896520052,0.026209242533554,0.518848077743792,0.381150779346463,1.47938548442464,423,"BP"
"NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS",0.000131323765327862,0.026209242533554,0.518848077743792,0.439209266583969,1.61284158663354,251,"BP"
"CYTOPLASMIC_SIDE_OF_MEMBRANE",0.00057589350546744,0.0270669947569697,0.477270815362862,0.541465017666145,1.76032948175616,97,"CC"
"GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY",0.000183623919771739,0.0341013937152709,0.518848077743792,0.44279644396509,1.62200771180943,237,"BP"
"TISSUE_DEVELOPMENT",0.000184182520741404,0.0341013937152709,0.518848077743792,0.342533432792406,1.37211010246783,659,"BP"
"CELL_SUBSTRATE_JUNCTION",0.000814110118101057,0.034947892770013,0.477270815362862,0.438316186378161,1.59855633393046,197,"CC"
"DENDRITIC_TREE",0.000868522505480643,0.034947892770013,0.477270815362862,0.406171735162867,1.52526121375837,277,"CC"
"DISTAL_AXON",0.000920613183404597,0.034947892770013,0.477270815362862,0.497224268144356,1.68142874907961,123,"CC"
"PLATELET_ALPHA_GRANULE",0.00090311229926765,0.034947892770013,0.477270815362862,0.71801718558019,1.88089620787205,29,"CC"
"PROTEIN_DNA_COMPLEX",0.00086492002266611,0.034947892770013,0.477270815362862,0.583345173942995,1.83529875165052,75,"CC"
"ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS",0.000200650910075521,0.0362444058541294,0.518848077743792,0.335984256059571,1.36135826639877,766,"BP"
"OLIGOSACCHARYLTRANSFERASE_COMPLEX",0.000996533176868174,0.0364288239099588,0.45505986738723,0.859207246158153,1.86435182954524,11,"CC"
"VESICLE_MEDIATED_TRANSPORT",0.000212271906133311,0.0374306127815071,0.518848077743792,0.339621621463676,1.37301527137942,686,"BP"
"INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",0.00112641372306305,0.0397060837379727,0.45505986738723,0.356863537965931,1.40053005610868,462,"CC"
"NERVOUS_SYSTEM_PROCESS",0.000234102056167805,0.0403199959995062,0.518848077743792,0.400398315860331,1.51501784600435,343,"BP"
"CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS",0.00025108538099778,0.0415060574100132,0.49849310876659,0.605163249954116,1.93111186831312,75,"BP"
"INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.000252197216236915,0.0415060574100132,0.49849310876659,0.510242671046181,1.77658339632851,130,"BP"
"ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",0.000268394498626342,0.0432115142788411,0.49849310876659,0.327801562270933,1.33715930612994,804,"BP"
"NEGATIVE_REGULATION_OF_CELL_DEATH",0.000283289037860914,0.0446391194552751,0.49849310876659,0.394368852857857,1.49299565087017,360,"BP"
"SMOOTH_ENDOPLASMIC_RETICULUM",0.00134239350832428,0.0456876687143471,0.45505986738723,0.779787523611328,1.86308343749221,19,"CC"
"SYNAPSE",0.00140435105512974,0.0462031497137685,0.45505986738723,0.335975522619799,1.34108516295951,598,"CC"
"ER_NUCLEUS_SIGNALING_PATHWAY",0.000316621942597113,0.0478551450382493,0.49849310876659,0.753025311247408,1.99181701751523,27,"BP"
"REGULATION_OF_DEVELOPMENTAL_GROWTH",0.000310446800363525,0.0478551450382493,0.49849310876659,0.497850528569212,1.73563744872126,133,"BP"
