"pathway","pval","padj","log2err","ES","NES","size","Category"
"AXONEME_ASSEMBLY",1e-10,1.835e-07,NA,0.801362408647345,2.45227238607015,54,"BP"
"CELL_PROJECTION_ORGANIZATION",1e-10,1.835e-07,NA,0.461260657133928,1.87232387760112,659,"BP"
"CILIUM_MOVEMENT",1e-10,1.835e-07,NA,0.716382530829034,2.36927724805531,89,"BP"
"MICROTUBULE_BUNDLE_FORMATION",1e-10,1.835e-07,NA,0.784149919775091,2.4425791262119,63,"BP"
"NEURON_DIFFERENTIATION",4.71431435386024e-10,6.92061347146683e-07,0.801215574617779,0.452874595730989,1.80489224452796,499,"BP"
"CILIUM",1.22340500114134e-09,1.1867028511071e-06,0.788186810800237,0.494438792512623,1.89223812131302,331,"CC"
"HEAD_DEVELOPMENT",3.60284748148065e-08,4.40748341901133e-05,0.719512826338911,0.491128605056291,1.87530269698166,308,"BP"
"MICROTUBULE_BASED_MOVEMENT",4.59102622533212e-08,4.8140189277054e-05,0.719512826338911,0.560116176245073,2.00490113486496,178,"BP"
"LOCOMOTION",6.48475843339951e-08,5.94976586264405e-05,0.704975715167238,0.407452104952038,1.64704054630566,606,"BP"
"NEURON_PROJECTION",2.01609582986564e-07,9.77806477484835e-05,0.690132458796796,0.418055685298593,1.65800943850404,505,"CC"
"NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",2.48078899272251e-07,0.000202322124517592,0.674962860011025,0.467347020568355,1.77263088763296,292,"BP"
"CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT",3.84730754576098e-07,0.000256720339871687,0.674962860011025,0.435642944674033,1.69490124249334,390,"BP"
"NEUROGENESIS",3.74618108379842e-07,0.000256720339871687,0.674962860011025,0.401478713524535,1.61857637096357,584,"BP"
"REGULATION_OF_NEURON_DIFFERENTIATION",9.20443863923843e-07,0.000563004830100084,0.659444398037935,0.687202390224186,2.1621261876362,65,"BP"
"CILIUM_ORGANIZATION",1.48700157305328e-06,0.000839583965093162,0.643551836150722,0.498796395117118,1.840768231831,225,"BP"
"MOTILE_CILIUM",2.75879870183654e-06,0.000892011580260482,0.627256739718528,0.590860920488282,2.00290616052612,107,"CC"
"MOLECULAR_FUNCTION_REGULATOR",6.05057246226205e-07,0.000983218025117583,0.659444398037935,0.397599208351375,1.59947760882881,564,"MF"
"NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",1.93094344808304e-06,0.00101236606492354,0.627256739718528,0.457976192141875,1.72275177122113,283,"BP"
"CHEMICAL_HOMEOSTASIS",3.22649942537605e-06,0.00157883371881735,0.627256739718528,0.426448088667032,1.65687182764392,363,"BP"
"CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",4.23005374516351e-06,0.00194053715559376,0.610526878385931,0.668397602696957,2.10072729741876,64,"BP"
"9PLUS2_MOTILE_CILIUM",1.40876534993471e-05,0.00196408829318552,0.593325476396405,0.646736969744477,2.02019880000972,64,"CC"
"AXON",1.26267502009083e-05,0.00196408829318552,0.593325476396405,0.450441230525267,1.689008777932,260,"CC"
"CYTOPLASMIC_REGION",1.39385302761649e-05,0.00196408829318552,0.593325476396405,0.542393349106971,1.87917045965386,126,"CC"
"SOMATODENDRITIC_COMPARTMENT",1.41738330436068e-05,0.00196408829318552,0.593325476396405,0.430590334784396,1.63492615144315,310,"CC"
"RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND",5.77638369147585e-06,0.00238667887479985,0.610526878385931,0.39134426806707,1.56712469017905,516,"BP"
"TISSUE_DEVELOPMENT",5.8528909736236e-06,0.00238667887479985,0.610526878385931,0.375496978835233,1.51427124511514,598,"BP"
"HOMEOSTATIC_PROCESS",6.9549048926479e-06,0.00255245009560178,0.610526878385931,0.376049831165755,1.5146508736254,590,"BP"
"TAXIS",6.89362095970388e-06,0.00255245009560178,0.610526878385931,0.512066896509064,1.82656401470093,174,"BP"
"INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",2.50578307916371e-05,0.003038261983486,0.575610261071129,0.385337972279885,1.51564484957161,449,"CC"
"G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",9.53072802411801e-06,0.00333121636652506,0.593325476396405,0.481496328089569,1.76695862715545,214,"BP"
"NERVOUS_SYSTEM_PROCESS",1.06516043404763e-05,0.00355376253904983,0.593325476396405,0.436048943048899,1.66441901571613,309,"BP"
"CILIARY_PLASM",3.30722274036964e-05,0.00356445117573173,0.557332238758646,0.611059835120127,1.9719472158713,75,"CC"
"MICROTUBULE_BASED_PROCESS",1.3983319037541e-05,0.00421359496555335,0.593325476396405,0.412623651122347,1.60597553938156,376,"BP"
"NEURON_DEVELOPMENT",1.43514814903043e-05,0.00421359496555335,0.593325476396405,0.407767031931572,1.60555712261367,411,"BP"
"RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND",1.33309141373666e-05,0.00421359496555335,0.593325476396405,0.435352923255743,1.64549308509929,288,"BP"
"POSTSYNAPTIC_DENSITY_MEMBRANE",5.23362917200572e-05,0.00507662029684555,0.557332238758646,0.737860886197995,2.03204658126547,32,"CC"
"GLUTAMATERGIC_SYNAPSE",6.83610839503755e-05,0.00602820467562402,0.538434096309916,0.516938205642003,1.79097882949398,126,"CC"
"PLASMA_MEMBRANE_REGION",8.79322736714023e-05,0.00710785878843836,0.538434096309916,0.385219100919895,1.5027466835086,417,"CC"
"CELLULAR_HOMEOSTASIS",3.14397098550652e-05,0.00866614496258526,0.557332238758646,0.423986382997802,1.60319873467978,289,"BP"
"CELL_PROJECTION_ASSEMBLY",3.34824782001197e-05,0.00866614496258526,0.557332238758646,0.433561534699164,1.64973305225175,299,"BP"
"DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",3.43119990564289e-05,0.00866614496258526,0.557332238758646,0.835142833793907,2.05360265848495,18,"BP"
"REGULATION_OF_CELL_DIFFERENTIATION",3.2423319690376e-05,0.00866614496258526,0.557332238758646,0.373015427833286,1.48889430387421,509,"BP"
"SYNAPTIC_SIGNALING",3.54202110187408e-05,0.00866614496258526,0.557332238758646,0.446248839488604,1.66532761160714,249,"BP"
