"pathway","pval","padj","log2err","ES","NES","size","Category"
"CATALYTIC_COMPLEX",1e-10,3.39655172413793e-09,NA,0.566994905354542,1.85044417100137,1167,"CC"
"CELL_SUBSTRATE_JUNCTION",1e-10,3.39655172413793e-09,NA,0.626420221414337,1.96124340394871,267,"CC"
"CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",1e-10,3.39655172413793e-09,NA,0.888627454904133,2.37180148285206,51,"CC"
"CYTOSOLIC_RIBOSOME",1e-10,3.39655172413793e-09,NA,0.870169245947987,2.45306361631611,88,"CC"
"ENDOPEPTIDASE_COMPLEX",1e-10,3.39655172413793e-09,NA,0.788459721074863,2.18409634859887,67,"CC"
"ENVELOPE",1e-10,3.39655172413793e-09,NA,0.625080477994766,2.03345919887116,922,"CC"
"INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",1e-10,3.39655172413793e-09,NA,0.805469761400112,2.38976831259965,138,"CC"
"INTRACELLULAR_PROTEIN_CONTAINING_COMPLEX",1e-10,3.39655172413793e-09,NA,0.540321804234375,1.75048058403284,620,"CC"
"LARGE_RIBOSOMAL_SUBUNIT",1e-10,3.39655172413793e-09,NA,0.818028105780581,2.34977786179169,103,"CC"
"MEMBRANE_PROTEIN_COMPLEX",1e-10,3.39655172413793e-09,NA,0.572465233180932,1.85550581109644,659,"CC"
"MICROTUBULE_CYTOSKELETON",1e-10,3.39655172413793e-09,NA,0.4780843475179,1.55579500148125,932,"CC"
"MITOCHONDRIAL_ENVELOPE",1e-10,3.39655172413793e-09,NA,0.674317236971962,2.18579066226325,612,"CC"
"MITOCHONDRIAL_MATRIX",1e-10,3.39655172413793e-09,NA,0.606306937054559,1.93233051016164,392,"CC"
"MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",1e-10,3.39655172413793e-09,NA,0.762909558724226,2.38411021453553,258,"CC"
"MITOCHONDRION",1e-10,3.39655172413793e-09,NA,0.596809511640689,1.94897444408449,1243,"CC"
"NUCLEAR_PROTEIN_CONTAINING_COMPLEX",1e-10,3.39655172413793e-09,NA,0.480139480887223,1.56466461963092,977,"CC"
