"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn2r1","Pcdh9",0,0,14.6286889672145,0.206952632648912,1329,4608,1018,32462,32574,5.89489194499018,4.99088541666667
"Vmn2r2","Pcdh9",0,0,16.626090926024,0.168812292358804,1021,4608,813,26099,32574,5.99753997539975,4.99088541666667
"Vmn2r7","Pcdh9",0,0,15.1104028606503,0.185124306554346,1160,4608,901,32978,32574,6.10876803551609,4.99088541666667
"Vmn2r1","Robo2",0,0,33.0544525319738,0.313842482100239,1329,3075,1052,32462,21861,6.68155893536122,6.18276422764228
"Vmn2r2","Robo2",0,0,49.570101923909,0.272840273461778,1021,3075,878,26099,21861,7.77334851936219,6.18276422764228
"Vmn2r6","Robo2",0,0,27.7048250092948,0.174331883157241,704,3075,561,21865,21861,7.85561497326203,6.18276422764228
"Vmn2r7","Robo2",0,0,20.93268241525,0.248525943396226,1160,3075,843,32978,21861,7.69157769869514,6.18276422764228
"Vmn2r2","Tenm2",1.49746286623213e-265,2.55878143659639e-269,10.694812165818,0.168637532133676,1021,3525,656,26099,29890,7.90396341463415,6.5668085106383
"Vmn2r6","Pcdh9",2.32630194682604e-261,4.47193761404467e-265,18.6577608396189,0.12233255863089,704,4608,579,21865,32574,6.24525043177893,4.99088541666667
"Vmn2r1","Flot1",2.51255529127131e-255,5.3666437935651e-259,7.82515563170293,0.145997088791849,1329,6544,1003,32462,48103,7.75772681954138,5.82029339853301
"Vmn2r7","Tenm2",3.53753105665458e-240,8.31151301277296e-244,8.41020662673428,0.169495756365452,1160,3525,679,32978,29890,8.33431516936672,6.5668085106383
"Vmn2r3","Tenm2",3.20194322158849e-236,8.20695430369983e-240,15.4027380524781,0.133495145631068,678,3525,495,21546,29890,9.88686868686869,6.5668085106383
"Vmn2r7","Kirrel3",1.06156160951368e-235,2.94764853767309e-239,9.25144379419326,0.187868852459016,1160,2463,573,32978,19206,5.19022687609075,4.45879009338205
"Vmn2r7","Pcdh17",1.93907726660651e-216,5.79842832510811e-220,7.26457349378692,0.148230535894843,1160,4518,733,32978,38263,8.81173260572988,6.78198317839752
"Vmn2r2","Pcdh17",6.92691632001489e-206,2.21931190568207e-209,7.79904455698082,0.136438243742306,1021,4518,665,26099,38263,8.41654135338346,6.78198317839752
"Vmn2r6","Tenm2",6.37207594052317e-201,2.17764994336304e-204,11.6234236212407,0.126231691078562,704,3525,474,21865,29890,8.89240506329114,6.5668085106383
"Vmn2r4","Robo2",1.10785638425161e-196,4.02271744463184e-200,26.9026864002375,0.103994927076728,407,3075,328,13501,21861,7.3780487804878,6.18276422764228
"Vmn2r2","Kirrel3",4.14313894895139e-196,1.5929023256253e-199,8.59466560945515,0.165607226497156,1021,2463,495,26099,19206,5.24242424242424,4.45879009338205
"Vmn2r7","Flot1",5.88659497580417e-194,2.38893811227048e-197,6.60806653169642,0.123032069970845,1160,6544,844,32978,48103,6.72867298578199,5.82029339853301
"Vmn2r1","Bmpr2",5.43258132973056e-192,2.43675953531423e-195,5.76546594487368,0.13132999443517,1329,6803,944,32462,47722,6.29661016949153,5.29722181390563
"Vmn2r1","Cyfip2",5.43258132973056e-192,2.36630027711466e-195,7.40162418350361,0.110724973453036,1329,10177,1147,32462,66609,6.87009590235397,5.56490124791196
"Vmn2r1","Emb",3.55511679810437e-187,1.67056622577419e-190,5.81096819335481,0.155443812855269,1329,3956,711,32462,28612,5.0295358649789,4.44716885743175
"Vmn2r1","Plxna1",1.99111721355088e-176,9.78164293897012e-180,5.27351868913317,0.131794489947878,1329,6271,885,32462,41040,4.92429378531073,4.61712645511083
"Vmn2r2","Flot1",1.35833857905169e-168,6.96316072819011e-172,6.48132864815629,0.108749816796131,1021,6544,742,26099,48103,6.54716981132075,5.82029339853301
"Vmn2r1","Robo1",1.64608846760358e-165,8.78982692342462e-169,5.5568232654227,0.155124653739612,1329,3258,616,32462,24464,4.6737012987013,4.19306322897483
"Vmn2r7","Efna3",7.94988985985228e-163,4.41490743637403e-166,5.83470738958615,0.107759669180248,1160,7948,886,32978,61832,6.96726862302483,6.61537493709109
"Vmn2r2","Gap43",1.21837619200425e-161,7.02639095734862e-165,6.1684401371605,0.125598833576338,1021,4383,603,26099,55114,11.8905472636816,10.995665069587
"Vmn2r4","Tenm2",1.65314826391547e-156,9.88682801265179e-160,17.731758171026,0.0861878453038674,407,3525,312,13501,29890,9.26282051282051,6.5668085106383
"Vmn2r7","Cyfip2",1.08225998271371e-148,6.70373349965772e-152,6.27918639381886,0.094621994786135,1160,10177,980,32978,66609,6.60612244897959,5.56490124791196
"Vmn2r7","Emb",1.58554882146872e-145,1.01598668554961e-148,5.23131510399758,0.132610139473102,1160,3956,599,32978,28612,5.06010016694491,4.44716885743175
"Vmn2r1","Efna3",9.78556370503471e-143,6.47939841206536e-146,4.54453794292978,0.114220514052366,1329,7948,951,32462,61832,6.3080967402734,6.61537493709109
"Vmn2r6","Pcdh17",3.73762484772634e-140,2.55465836061436e-143,7.5269747155835,0.0965980680386392,704,4518,460,21865,38263,8.89347826086957,6.78198317839752
"Vmn2r1","Ece1",5.33790056073882e-140,3.76245714264558e-143,4.42058948324258,0.130160951714486,1329,5131,744,32462,34433,4.84408602150538,4.35646072890275
"Vmn2r6","Kirrel3",7.3034220837475e-135,5.30386498456609e-138,8.22930708080568,0.122253720765415,704,2463,345,21865,19206,5.34492753623188,4.45879009338205
"Vmn2r1","Apbb1",7.30323876312535e-129,5.45972396747804e-132,4.09812003004827,0.118145845110232,1329,6583,836,32462,42932,4.97488038277512,4.89609600486101
"Vmn2r7","Unc5b",2.2340656686005e-128,1.71785134071549e-131,5.99251801436553,0.145317545748116,1160,2032,405,32978,17052,4.41481481481481,4.07726377952756
"Vmn1r37","Pcdh10",1.51301145860582e-125,1.19572437883753e-128,13.0597393845554,0.0894535328924469,401,2729,257,92639,28421,10.6498054474708,8.96995236350311
"Vmn2r7","Plxna1",4.73338782388921e-125,3.94297332503907e-128,4.40478134329648,0.109270040304523,1160,6271,732,32978,41040,5.0327868852459,4.61712645511083
"Vmn2r1","Prtg",4.73338782388921e-125,3.88058986870189e-128,7.38612732307677,0.149484536082474,1329,1124,319,32462,10406,4.54858934169279,4.05249110320285
