"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn2r2","Pou2f1",0,0,18.4474825261809,0.245368464388637,1021,2004,596,26099,25903,15.4194630872483,9.17814371257485
"Vmn2r1","Tfap2e",0,0,32.5791083120078,0.358083832335329,1329,2073,897,32462,14311,5.97770345596433,5.5291847563917
"Vmn2r2","Tfap2e",0,0,19.0149854713841,0.24707779121322,1021,2073,613,26099,14311,5.87601957585644,5.5291847563917
"Vmn2r7","Tfap2e",0,0,15.702663138826,0.246337702390131,1160,2073,639,32978,14311,5.981220657277,5.5291847563917
"Vmn2r1","Tcf4",3.22794914641378e-270,7.28511976495364e-275,9.33522569722152,0.1375,1329,7771,1100,32462,57487,7.92636363636364,6.01029468536868
"Vmn2r4","Pou2f1",2.33680333877027e-262,6.32868415873219e-267,48.3899157318226,0.15857760691975,407,2004,330,13501,25903,20.2515151515152,9.17814371257485
"Vmn2r1","Ikzf4",1.94361831633208e-259,6.14114045712117e-264,15.1740365385356,0.226318484383001,1329,1066,442,32462,10358,4.36199095022624,4.02908067542214
"Vmn2r2","Tcf4",6.20280338864187e-258,2.23984522754554e-262,13.7554432269073,0.113616212792907,1021,7771,897,26099,57487,8.79041248606466,6.01029468536868
"Vmn2r2","Cebpb",1.2166533521317e-256,4.94253067976804e-261,10.5806957221056,0.175092830619823,1021,3093,613,26099,24583,6.39477977161501,4.79631425800194
"Vmn2r7","Pou2f1",1.26183493632459e-250,5.69564030767971e-255,10.818368396893,0.204874333587205,1160,2004,538,32978,25903,14.6486988847584,9.17814371257485
"Vmn2r1","Dlx3",3.41090575703104e-248,1.69356711657014e-252,7.60758856681572,0.177557146155622,1329,3771,769,32462,26221,4.8816644993498,4.28851763457969
"Vmn2r7","Tcf4",2.09258943666653e-247,1.13345760842083e-251,10.021329668082,0.122407942691969,1160,7771,974,32978,57487,8.5,6.01029468536868
"Vmn2r1","Nhlh2",1.93206937968721e-242,1.13372070270166e-246,7.15377881949248,0.156540010506041,1329,5276,894,32462,41706,8.59284116331096,6.12206216830933
"Vmn2r2","Ddit3",2.99288248275117e-229,1.89128817564531e-233,9.1226508430909,0.159905783826224,1021,3411,611,26099,28328,8.50572831423895,6.03518029903254
"Vmn2r3","Pou2f1",1.83151038595021e-222,1.24005415579989e-226,15.7624284725292,0.170667830641641,678,2004,391,21546,25903,19.1764705882353,9.17814371257485
"Vmn2r6","Pou2f1",5.09487066599835e-221,3.67953682591149e-225,15.0023479756283,0.171787105149286,704,2004,397,21865,25903,17.2821158690176,9.17814371257485
"Vmn2r6","Tfap2e",3.34318823829051e-216,2.56536850697553e-220,14.4289148729423,0.167297183690626,704,2073,398,21865,14311,6.00251256281407,5.5291847563917
"Vmn2r1","Atf6b",1.24634403169073e-215,1.01262921001846e-219,7.57954201589638,0.184540177207455,1329,2548,604,32462,20137,4.19370860927152,3.90816326530612
"Vmn2r7","Cebpb",1.13340705150871e-209,9.72029663573169e-214,7.64606887455876,0.166483817882611,1160,3093,607,32978,24583,6.09060955518946,4.79631425800194
