"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Grp",1.15429460191401e-21,-2.90369266741175,0.101,1,6.04007736343544e-17
"Ppp1r14a",3.47618222489083e-21,-2.69067897117913,0.087,0.978,1.81898187281863e-16
"Crabp1",6.41407667257216e-21,-4.79111059183631,0.203,1,3.35629390045683e-16
"Olig2",6.45328479611004e-21,-1.47757777450576,0,0.889,3.3768103352605e-16
"Mslnl",4.35242900791174e-20,-1.45224901601899,0.029,0.889,2.27749552696998e-15
"Zfhx3",4.79025814591712e-19,-2.57127917641748,0.406,1,2.50659838001405e-14
"Cdkn1a",1.47913101995147e-18,2.78372986580206,0.986,0.289,7.73984888810008e-14
"Bcl11b",1.89704341677595e-18,-2.77560255182239,0.174,0.956,9.92665908696352e-14
"Col9a2",3.29066148115651e-18,-2.74315785790496,0.623,1,1.72190443324476e-13
"Fezf1",3.6653215016004e-18,-2.10704923818143,0.362,0.978,1.91795278214244e-13
"Rnf182",2.26327168990996e-17,-2.06990361309713,0.493,0.978,1.18430217717918e-12
"Ddah2",2.3365895350373e-17,-1.61535431028846,0.928,1,1.22266720599897e-12
"Tex15",2.51212975990253e-17,-3.6584989540818,0.159,0.911,1.3145221394642e-12
"Ckmt1",3.21269382810985e-17,-1.88480983805808,0.783,1,1.68110629943504e-12
"Olig1",4.38540483903566e-17,-1.34052177638034,0,0.756,2.29475079012219e-12
"Kif19a",4.42839640558853e-17,-1.20883791232849,0.101,0.933,2.31724698715231e-12
"Zfp644",6.03252895270283e-17,-2.55588626886518,0.71,1,3.15664142508081e-12
"Rgs2",7.31160809198759e-17,-1.7866225124489,0.145,0.889,3.82594516629434e-12
"Nfib",8.05960026786619e-17,-1.79054601179676,0.232,0.978,4.21734703216634e-12
"Tamalin",1.08488027079331e-16,-2.08591608613612,0.391,0.978,5.67685299298016e-12
"C1qtnf4",1.2081916882506e-16,-1.78502304286498,0.188,0.933,6.32210464710893e-12
"Selenom",3.2865327922874e-16,-1.47452326833471,0.986,1,1.71974401422023e-11
"Scg2",8.00324514026839e-16,-1.99568667188888,0.319,0.978,4.18785808454824e-11
"Ptma",8.13362184454603e-16,-1.02350231054755,1,1,4.2560803025956e-11
"Sp8",1.3190355465289e-15,2.54242979224492,0.928,0.289,6.90211730432177e-11
"Baz1a",1.55467710122211e-15,-2.58762000896336,0.652,0.978,8.13515886756492e-11
"Calm1",1.81134493985702e-15,1.70929995399631,1,1,9.47822466678982e-11
"Mss51",1.83483257538551e-15,-1.48723908963961,0.275,0.933,9.60112841721977e-11
"Pidd1",2.02736393580871e-15,2.00055881634233,0.855,0.067,1.06085872669063e-10
"Maco1",2.04006809652974e-15,-1.35888387101456,0.855,1,1.06750643287112e-10
"Ak1",2.23036020968018e-15,-1.44788553409803,0.449,1,1.16708058691935e-10
"Tshz2",3.25061778365684e-15,-1.52932003426132,0.348,1,1.70095076765411e-10
"Trp73",3.30919647030185e-15,1.81612287013294,0.826,0.022,1.73160323701485e-10
"Sct",3.65261840952487e-15,3.24766648246894,0.826,0.022,1.91130563515208e-10
"Pim3",4.56026612558018e-15,-1.80402585985251,0.638,1,2.38625045553234e-10
"Prdx2",8.3390439680801e-15,-1.30810696981407,0.986,1,4.36357153717727e-10
"Dpysl5",1.24389864699794e-14,-1.22164655781141,0.797,1,6.50894845014613e-10
"Krt8",1.26385252890923e-14,2.97903126841564,0.855,0.133,6.61336112802333e-10
"Mlf1",1.50675557389949e-14,2.15011824722417,0.942,0.533,7.88439989154387e-10
"Lhx2",2.16245870574135e-14,-0.746820333070355,1,1,1.13154976695328e-09
"Gmnc",2.58384279516279e-14,1.97219571612351,0.783,0,1.35204741942483e-09
"Uncx",5.15888840162711e-14,-1.6878016048266,0.362,0.978,2.69949153391942e-09
