"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meis2",1.77446184312652e-15,2.17014712745837,0.754,0.097,9.28522648652813e-11
"Sct",6.78649936727559e-14,2.56698158747187,0.826,0.375,3.5511715239143e-09
"Acad10",1.39885954332495e-13,1.15886445607483,0.652,0.069,7.31981233235646e-09
"Ina",1.83111683504443e-13,1.65233048211589,0.754,0.181,9.58168506273701e-09
"Bcl11b",3.73738497973376e-13,-1.70828112242986,0.174,0.75,1.95566143834528e-08
"Nfib",6.61402645516604e-13,-1.81216370061021,0.232,0.792,3.46092162319474e-08
"S100z",7.47018042460382e-12,1.30077187149439,0.797,0.375,3.90892131078244e-07
"Sema3a",9.67915237856848e-12,-0.853645515052881,0.449,0.944,5.06481006513353e-07
"Kdm7a",2.14479954432125e-11,1.12936064293449,0.928,0.806,1.12230925755698e-06
"Tppp3",1.14644011520882e-10,1.37172042572107,0.609,0.111,5.99897719085318e-06
"Gpc6",1.54205829669348e-10,-0.95511843799573,0.217,0.722,8.06912844910798e-06
"Lhx2",1.83938403619948e-10,-0.533563796481508,1,1,9.62494484622103e-06
"Ptma",2.0481342021677e-10,-0.43699867701432,1,1,1.07172718396829e-05
"Fhad1",2.85438374666065e-10,0.97560509196303,0.638,0.139,1.49361338311512e-05
"Hes6",5.02165389831916e-10,1.25332991571808,0.928,0.875,2.62768083537347e-05
"Slc44a1",1.02842116933715e-09,-0.885405700371426,0.362,0.819,5.3814194527905e-05
"Mss51",1.06571916999543e-09,-0.934993465800062,0.275,0.736,5.57658870083508e-05
"Calm1",1.10310242713837e-09,0.860443233079433,1,1,5.77220407048693e-05
"Crabp1",1.51142032672042e-09,-1.30616912101746,0.203,0.722,7.90880914362996e-05
"Ppp1r14a",1.52151678509807e-09,-0.672332036314699,0.087,0.597,7.96164088138267e-05
"Ifitm2",1.83851594358861e-09,-0.744463378207476,0.913,1,9.62040237801613e-05
"Emx2",1.97404196536736e-09,-0.886235885529127,0.855,1,0.000103295693921778
"Dnase2a",2.08413076806849e-09,-0.773910738669173,0.101,0.583,0.00010905631070072
"Ezh2",2.19877188363645e-09,-0.599731045129316,0.957,1,0.000115055136355044
"Chd3",2.45682070463359e-09,-0.792218603051198,0.42,0.847,0.000128558057011362
"Smchd1",2.90277952384565e-09,-0.656181585892429,1,1,0.000151893744144272
"Cox8a",3.05004159157886e-09,0.647604315092889,0.971,0.958,0.000159599526362547
"Kif21a",4.90164012687782e-09,0.8312812435127,0.913,0.806,0.000256488122919135
"Mir100hg",6.00037812342109e-09,1.2735365931159,0.435,0.028,0.000313981786064255
"Mbd2",7.27168110591166e-09,-0.668928878026749,0.942,0.986,0.000380505257229039
"Spock2",7.83550367154607e-09,0.958158683470919,0.696,0.292,0.000410008400620991
"Misp",8.90704219786912e-09,0.739400846236395,0.609,0.153,0.000466078797087898
"Tubb4b",9.2643158282498e-09,0.890251664908442,0.942,0.944,0.000484773854344827
"Acsl5",1.09581536436173e-08,1.03943746319754,0.638,0.208,0.000573407305709561
"Hmgn2",1.18409710772029e-08,-0.672532347744027,0.667,0.917,0.000619602493556797
"Clmp",1.20548410897707e-08,0.965427677870266,0.696,0.236,0.000630793669704432
"Tmem108",1.29760094319607e-08,0.824116104248978,0.58,0.153,0.00067899564554621
"Bcl2l1",2.05797464495985e-08,-0.597103801064769,0.986,1,0.00107687639246814
"Rpl18",4.26459036456629e-08,-0.538721175878901,0.913,0.986,0.0022315322000666
"Gm10631",7.33073380937473e-08,-0.899872636448041,0.652,0.889,0.00383595308043151
"Cdkl1",1.1270355056527e-07,0.462498553282151,0.333,0,0.00589743869042889
