"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gng2",0,2.28961834141251,0.959,0.389,0
"Krt8",0,-2.14748046063357,0.617,0.941,0
"Robo2",0,-1.66672329753216,0.277,0.869,0
"Ncam2",0,1.51945279861525,0.766,0.082,0
"Cystm1",0,1.68545627217549,0.977,0.781,0
"Meis2",0,2.41515084296357,0.986,0.173,0
"G630016G05Rik",0,1.42594705036322,0.77,0.051,0
"Vmn2r1",0,-1.95291768598025,0.075,0.701,0
"Tfap2e",0,-1.6300743231021,0.018,0.631,0
"Cnpy1",0,-2.22994290057238,0.256,0.9,0
"Gnao1",0,-1.9217316863605,0.616,0.943,0
"Gnai2",0,3.06021760539657,0.975,0.391,0
"Krt18",2.89231668612854e-302,-1.98316492336406,0.604,0.905,1.51346255235048e-297
"Rtp1",6.76086147536596e-298,1.52643197506862,0.701,0.07,3.53775598421475e-293
"Gm36028",1.09908910372332e-286,-2.47064674752821,0.251,0.759,5.75120355305303e-282
"2700033N17Rik",7.84292294040226e-276,1.19218243766808,0.69,0.061,4.10396628702429e-271
"Fam241a",1.8088777046181e-273,1.45753645530078,0.762,0.203,9.46531436495513e-269
"Pcdh7",2.96225990928052e-262,1.23958778658709,0.653,0.058,1.55006174272922e-257
"Shisa8",1.13865695331785e-246,-1.12549074045416,0.032,0.548,5.95825023962633e-242
"Nsg1",3.70118128563545e-217,1.37410519671221,0.929,0.736,1.93671713133446e-212
"Apmap",1.05466917930115e-208,-1.53096921754353,0.71,0.867,5.51876741452911e-204
"Osbpl9",6.12404245712472e-203,-1.14953539116084,0.656,0.855,3.20452769653965e-198
"Spats2",1.4126492160318e-199,-0.937120204345313,0.838,0.929,7.39196955272961e-195
"Manf",8.20891088930195e-198,-1.51441335755257,0.855,0.922,4.29547680104503e-193
"Car2",1.42812646409247e-196,1.40191960286458,0.672,0.19,7.47295734865667e-192
"Calr4",2.30367377602558e-194,-1.74418401962724,0.776,0.893,1.20544337678091e-189
"Cdin1",4.08242000858096e-193,1.08679252355206,0.521,0.048,2.13620791789016e-188
"Homer2",6.50085739448239e-192,-1.14979258206163,0.466,0.822,3.4017036488108e-187
"Sgpl1",4.05458034751106e-186,1.09164873936453,0.803,0.403,2.12164025844211e-181
"Fth1",3.15603195287554e-182,1.12800979856412,0.994,0.967,1.65145683998119e-177
"Hspa5",3.84672504333222e-180,-1.4477770852532,0.933,0.956,2.01287581342445e-175
"Cd47",3.38938291624949e-178,0.886701585847024,0.961,0.891,1.77356239858587e-173
"Gng13",3.81895314711364e-176,2.29423471805951,0.611,0.175,1.99834361329015e-171
"Clmn",7.29860414757401e-176,-1.06891766204568,0.567,0.851,3.81914059230105e-171
"Mt3",4.87549151179088e-175,-1.02113847517995,0.137,0.569,2.55119844337481e-170
"Nhlh2",2.18601844875366e-172,-1.26578549386687,0.775,0.901,1.14387787367933e-167
"Sphkap",1.19176780653296e-165,-0.852108352517435,0.054,0.452,6.236163401245e-161
"Sdf2l1",1.47791807887208e-165,-1.53224097576994,0.569,0.795,7.73350193131393e-161
"Tppp3",4.62137032175223e-164,-1.08492747884297,0.112,0.526,2.41822444826329e-159
"Tspan1",2.1687589285332e-162,0.832918008385571,0.519,0.087,1.13484648453357e-157
"Dusp15",7.36345275672645e-162,-0.878893833280177,0.116,0.52,3.85307392401225e-157
"Mgst3",3.7216401685112e-160,0.714117561311799,0.976,0.909,1.94742265097686e-155
"Hsp90b1",4.9048802297378e-160,-1.13616967309316,0.959,0.966,2.5665766778149e-155
"3110099E03Rik",2.37301070052316e-158,1.2887894847134,0.397,0.014,1.24172530926275e-153
"Fam3c",1.24957617042362e-157,-1.11366864707992,0.472,0.746,6.53865722697567e-153
"Nqo1",1.61477485290233e-157,1.6867771297818,0.566,0.158,8.44963237278202e-153
"Esd",3.58217594080776e-156,0.59413239152065,0.486,0.063,1.87444520454648e-151
"Sp8",7.2197303047474e-155,-0.787074676057127,0.073,0.465,3.77786827656517e-150
"Plekhb1",8.95166414602799e-154,0.911390015819762,0.53,0.104,4.68413729769207e-149
"Chd5",4.94533563739818e-152,-0.762254520742584,0.038,0.406,2.58774577898134e-147
"Itm2b",1.41870113413185e-147,-1.09745586165919,0.955,0.959,7.42363742457172e-143
"Pdia5",2.86429274017811e-142,-0.816596647924772,0.215,0.596,1.498798462153e-137
"Creld2",6.06375326076206e-140,-1.04885113971825,0.344,0.678,3.17298016875896e-135
"Gm37357",1.04905854537983e-137,-2.11100811979301,0.866,0.952,5.48940865040905e-133
"Chgb",1.19611022777727e-136,0.910755378279464,0.591,0.196,6.25888598889015e-132
"Gramd1c",7.78949674096136e-135,0.791856708469934,0.485,0.103,4.07600995964285e-130
"Rtp2",8.52303161253732e-133,0.783317876147004,0.701,0.319,4.4598467518924e-128
"Pdia6",1.58201163343414e-132,-1.06352436208295,0.749,0.862,8.27819227427081e-128
"Nfix",1.49998575297888e-131,0.780207043089047,0.634,0.227,7.84897544961258e-127
"Tafa1",1.84943847806502e-130,-0.76180778640155,0.086,0.44,9.67755672417085e-126
"Ttll7",4.71283215993383e-130,0.784564693460776,0.91,0.746,2.46608368432857e-125
"Gnb1",1.35830608573887e-129,0.841435733375085,0.997,0.991,7.10760825484578e-125
"Pcsk2",5.56352150317855e-129,0.605095985292343,0.566,0.163,2.91122389696824e-124
"Fbxo17",7.57297090478956e-129,-0.640068509832518,0.096,0.441,3.96270848534924e-124
"Agpat5",1.8084888736086e-127,-1.01448623847685,0.445,0.721,9.46327972893174e-123
"Gng3",2.47855814599389e-125,0.873743818247032,0.842,0.602,1.29695512105422e-120
"Grin3a",4.49671599141446e-125,-0.566932414734386,0.047,0.372,2.35299657682744e-120
"Plxnd1",1.648779997528e-124,-0.561014101514569,0.018,0.316,8.62757109306478e-120
"Calr",1.25248086228807e-123,0.74458031600916,0.828,0.461,6.55385660809477e-119
"Tubb4b",6.19773152177278e-121,0.791243782936295,0.967,0.876,3.24308697339804e-116
"Prdx1",7.66024289467556e-120,0.820681618145639,0.685,0.331,4.00837529949688e-115
"mt-Cytb",6.64808518340144e-119,-0.740650006860174,0.992,0.995,3.47874353391847e-114
"Ero1b",2.62678761407272e-118,-0.914309721837329,0.538,0.769,1.37451915481583e-113
"Hopx",1.36337210811097e-117,0.742699548114734,0.525,0.151,7.13411723011228e-113
"Nrp2",2.44890703527839e-117,0.646152245554845,0.881,0.504,1.28143958435012e-112
"S100a10",4.68148613604811e-117,0.940536028860128,0.57,0.198,2.4496812504099e-112
"Rnaseh2a",2.57225552333892e-115,-0.84637738906366,0.394,0.666,1.34598414769755e-110
"Enpp1",5.23905040542769e-113,-0.827076438029188,0.334,0.653,2.74143790564815e-108
"Bcl7a",5.12784020280366e-111,-0.699954408633949,0.898,0.945,2.68324494292107e-106
"Lingo2",7.20617709015535e-111,0.485799308980162,0.401,0.064,3.77077628596559e-106
"Pdia3",1.2010809409848e-109,-0.810007038370547,0.972,0.958,6.28489623989116e-105
"Cpsf6",3.07324693803508e-109,0.769185695115323,0.926,0.831,1.60813792526562e-104
"Dync1i1",6.76675466892075e-108,-0.866568669138467,0.389,0.655,3.54083971560616e-103
"Dlx6os1",2.84358951365453e-106,-0.834197211918086,0.805,0.917,1.48796508481001e-101
"Prdx2",3.54541322622961e-105,-0.823600035430635,0.863,0.903,1.85520837888917e-100
"Kcnq1ot1",6.41529805653839e-105,-0.798100502320429,0.96,0.977,3.35693301404485e-100
"Dnajc3",1.63570686077978e-104,-0.974438553228812,0.396,0.649,8.55916329040235e-100
"Jak1",2.36475807644601e-104,-0.641339478473931,0.922,0.948,1.2374069586619e-99
"Meis1",7.66596604826748e-104,0.618529485478695,0.453,0.111,4.01137005407692e-99
"Snca",2.53408967871124e-103,0.7517849296866,0.861,0.644,1.32601310617923e-98
"Gm38165",8.7129802637395e-103,0.621727331648059,0.657,0.319,4.55924118260697e-98
"Rps4x",3.35543747815103e-102,0.754383848403969,0.974,0.937,1.75579976919209e-97
"Dsp",3.65353915263241e-102,-0.780635491517972,0.545,0.79,1.91178743239796e-97
"Cfap300",2.6094495889988e-101,-0.879248504508319,0.361,0.621,1.3654466864354e-96
"Stmn1",7.24165155955348e-98,0.802293505961596,0.997,0.972,3.78933901156755e-93
"Rbbp6",5.81829835677819e-96,-0.695459226279014,0.705,0.817,3.04454098115133e-91
"Zdhhc3",1.14673599716829e-95,0.659795432028776,0.727,0.455,6.00052545238253e-91
"Optn",1.26742194048639e-95,-0.559871726118099,0.102,0.397,6.63203878798315e-91
