"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pcolce2",1.74941152626519e-33,-1.61320663971109,0.022,0.864,9.15414569348788e-29
"Fezf1",1.6522775040288e-32,-2.50740380768618,0.109,0.932,8.6458724953315e-28
"Nfib",2.47036387704613e-32,-2.1425877145469,0.095,0.932,1.29266730594193e-27
"Retreg1",1.2489974855072e-29,-1.57205671855418,0.131,0.932,6.53562914241353e-25
"C130093G08Rik",3.3299741225343e-28,-2.9537593161544,0.219,0.932,1.74247555909852e-23
"Fabp5",4.44404576506197e-28,2.29813615798046,1,0.898,2.32543582748398e-23
"Rcor1",7.64483796410333e-28,-2.65065064845327,0.467,0.983,4.00031436147635e-23
"Crabp1",1.63695613261435e-27,-3.62236980772276,0.686,1,8.56570035513111e-23
"Zfhx3",1.95370387974798e-27,-2.3807194502429,0.263,0.966,1.02231462915572e-22
"Mt1",4.44302620099869e-27,-2.62118747893043,0.277,0.949,2.32490232019658e-22
"Meis2",8.90018363247974e-27,4.7325501338227,0.964,0.136,4.65719908936768e-22
"Tshz2",1.0626151913719e-26,-2.2210686046709,0.562,1,5.56034651189175e-22
"Homer2",2.02793032689646e-26,-2.47002162087603,0.474,0.983,1.06115510215511e-21
"Atp10d",2.38793070557014e-26,-1.27096042906572,0.073,0.814,1.24953250030369e-21
"Ghr",3.38947468359379e-26,-1.34305285738762,0.029,0.729,1.77361041768412e-21
"Foxg1",4.39061197873409e-26,2.12032398818378,0.949,0.102,2.29747553011219e-21
"Gng13",5.38327721136261e-26,-2.48922502463398,0.161,0.898,2.81690746638971e-21
"Krt8",1.57764288615564e-25,2.59914618466726,0.964,0.136,8.25533193038664e-21
"Lbh",3.21847156151059e-25,2.46748192793497,0.942,0.102,1.68412961399165e-20
"Neurod1",1.65033181699517e-24,3.61883404394964,0.912,0.034,8.63569129879064e-20
"Cdkn1b",1.71585540721922e-24,2.10510961576485,0.912,0.085,8.978556589356e-20
"Gnai2",1.75901021265029e-24,2.38310215578375,0.956,0.424,9.20437273973517e-20
"Rgma",2.11094262892225e-24,-0.94969826405008,0.015,0.661,1.10459294943615e-19
"Sub1",4.13551248620649e-24,-1.62519720050992,0.891,0.983,2.16398961865727e-19
"Zfp644",5.06297282459292e-24,-2.43998688304535,0.774,1,2.64930178992474e-19
"Ssbp2",9.99225956141311e-24,-1.78739323064384,0.854,1,5.22864966070064e-19
"Gnb2",1.16883854637203e-23,1.91501358315402,0.934,0.288,6.11618146160092e-19
"Hmga2",1.21377651799106e-23,-1.56357542878702,0.051,0.712,6.35132838569181e-19
"Mt2",1.64857507910316e-23,-1.5661463423046,0.161,0.847,8.62649881642309e-19
"Qdpr",1.88931122448961e-23,-1.39256770093262,0.883,1,9.88619884438678e-19
"Mir100hg",5.57869595503701e-23,2.1351577508943,0.861,0,2.91916423239222e-18
"Nsg2",6.74160590952774e-23,1.94647307742291,0.927,0.254,3.52768012427858e-18
"Gnal",7.4283248965589e-23,-1.17129087687391,0.066,0.729,3.88701956862237e-18
"Ebf2",9.47389393127428e-23,-1.14354157069916,0.927,1,4.95740447741789e-18
"Ppp1r2",1.37615534504852e-22,-1.51573671840216,0.73,0.983,7.20100807403538e-18
"Ldhb",2.73906613867521e-22,-1.71295366552788,0.964,1,1.43327113838458e-17
"Ptma",6.81925614336804e-22,-0.714711975072546,1,1,3.5683121621402e-17
"Clic6",8.55253991823065e-22,1.98992826819483,0.898,0.169,4.47528756301255e-17
"Gm16196",9.72259797735708e-22,-1.07323154695287,0.088,0.763,5.08754384361164e-17
"Pkm",1.10252944319839e-21,-1.41446883634817,0.883,1,5.76920581742423e-17
"Nrg1",1.63571334989764e-21,1.97000487602677,0.934,0.39,8.55919724600936e-17
"Stmn2",2.18975732939992e-21,1.04462104732574,1,1,1.1458343177551e-16
"Elavl4",2.66150435281257e-21,2.2095664738473,0.956,0.61,1.39268538269623e-16
"Tshz1",3.12311018964834e-21,-1.7215958657699,0.81,0.983,1.63422986893729e-16
"Galnt7",3.44191160792763e-21,1.91073304327713,0.847,0.085,1.80104908708029e-16
"Cd47",5.28272131362315e-21,1.98579605591026,0.956,0.729,2.76428958177959e-16
"Tex14",7.0806234639243e-21,2.02914459868848,0.818,0.017,3.70507783996767e-16
"Rnf182",7.7250588903953e-21,-1.48759544148721,0.569,1,4.04229156557715e-16
"Tspan12",9.63095055882706e-21,-1.14972289558306,0.058,0.678,5.03958749891744e-16
"Phactr1",1.3871554180783e-20,-1.53752599031915,0.65,0.966,7.25856815617832e-16
