"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Meis2",5.32959479217214e-36,4.82645426006469,0.964,0.1,2.78881706689992e-31
"Mir100hg",1.04359707392308e-29,2.06551979707795,0.861,0.056,5.46083040871731e-25
"Ina",3.87213143955333e-24,1.67762860949338,0.927,0.544,2.02617021837507e-19
"Acad10",1.00976044959517e-22,1.62389446827511,0.766,0.067,5.28377350459664e-18
"Krt8",2.86352659485457e-20,-1.11734014879348,0.964,1,1.49839756128955e-15
"Zmynd8",2.76288457752485e-18,-1.63963274607861,0.796,0.944,1.44573461288143e-13
"Ptma",2.99836011874937e-18,-0.45204119103377,1,1,1.56895189933798e-13
"Sp8",5.38158988529877e-18,-1.32038454340036,0.533,0.933,2.81602453928029e-13
"Stmn4",1.51446176153653e-17,1.55835216751822,0.891,0.489,7.92472405959221e-13
"Krt7",5.45187708766567e-17,1.29360628335937,0.818,0.333,2.85280372366282e-12
"Spock1",6.42943299155464e-17,-0.988243587429526,0.343,0.822,3.3643294014908e-12
"G630016G05Rik",8.96975786402239e-16,0.942463919846288,0.533,0.011,4.693605197507e-11
"2700033N17Rik",1.52947176583422e-15,0.953241533041346,0.526,0.011,8.00326690908075e-11
"Pbx3",3.53722009131495e-15,1.18528209495417,0.92,0.756,1.85092115718238e-10
"Gap43",9.68508905917217e-15,1.6540285324019,0.869,0.556,5.06791655199302e-10
"Ndfip1",9.52169366850133e-14,0.989939018877341,0.876,0.511,4.98241664591669e-09
"Psmb2",9.67177713677613e-14,-0.839175959254467,0.861,0.967,5.06095082236084e-09
"Sorl1",1.5218255318459e-13,0.847597905406969,0.584,0.089,7.96325646049004e-09
"Gm13889",4.86387248493443e-13,-0.628121467478508,0.058,0.467,2.54511855519164e-08
"Tshz1",8.39447794506748e-13,-0.927565046263013,0.81,0.944,4.39257847431546e-08
"Rpl38",1.43771368718404e-12,-0.542090889916861,1,1,7.52312441092795e-08
"Emx2",2.11585073307856e-12,-0.752204041196447,0.891,1,1.10716121309802e-07
"Shtn1",2.42486792580466e-12,0.917869320869489,0.905,0.744,1.26886063953581e-07
"Rpl32",3.0813041677007e-12,-0.446177343751878,1,1,1.61235403183275e-07
"Mss51",5.2500398568802e-12,-0.894743978130709,0.438,0.833,2.7471883559097e-07
"Rnf182",3.64091478995611e-11,-0.951030061335271,0.569,0.844,1.90518148214033e-06
"Cystm1",4.35533988441811e-11,0.846363421316936,0.891,0.789,2.27901870131946e-06
"Rgs3",4.59179588280247e-11,0.838913952113706,0.825,0.489,2.40274903159405e-06
