"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cyb5r1",0,0.905201352406036,0.635,0.002,0
"Cfap126",0,1.41549792304224,0.709,0.015,0
"Ric8b",0,1.91651188702064,0.851,0.028,0
"Ppp1r14c",0,1.94199257203623,0.798,0.016,0
"Ormdl3",0,1.67855769199777,0.823,0.065,0
"Nsg2",0,1.03440588928427,0.693,0.028,0
"Atox1",0,3.21770515216491,0.902,0.057,0
"Hdac9",0,1.1755114228682,0.66,0.012,0
"Id4",0,2.05800932739435,0.879,0.051,0
"Mslnl",0,1.72191385518757,0.665,0.02,0
"Galnt14",0,1.01962299531054,0.691,0.012,0
"Gnal",0,4.19309567471083,0.956,0.028,0
"Cidea",0,1.90931784115987,0.798,0.002,0
"Ndfip1",0,2.75804556874644,0.919,0.068,0
"Fam107b",0,0.694192941536416,0.586,0.007,0
"Uckl1os",0,1.79025744533962,0.758,0.034,0
"Ebf4",0,1.25187036610936,0.774,0.003,0
"Stoml3",0,5.41423101821228,0.888,0.023,0
"Pifo",0,1.01419495078373,0.633,0.008,0
"Mlf1",0,1.69452129271939,0.847,0.035,0
"S100a5",0,6.31053380666143,0.858,0.092,0
"Serinc2",0,0.81744038247829,0.64,0.015,0
"Nfib",0,1.84416976898866,0.895,0.042,0
"Gm12892",0,1.38463586107226,0.744,0.034,0
"Cfap206",0,0.902602830803724,0.665,0.019,0
"Tmem64",0,1.26144604705741,0.665,0.011,0
"Hint2",0,1.04800917305157,0.812,0.055,0
"Jakmip1",0,2.19677476782943,0.777,0.055,0
"Sult1d1",0,2.3969585498578,0.735,0.037,0
"Ndufa12-ps",0,0.974208900966879,0.763,0.045,0
"Uncx",0,2.28976257544852,0.933,0.012,0
"Fezf1",0,0.838096169616577,0.607,0.001,0
"C130093G08Rik",0,1.55637197396011,0.786,0.012,0
"Cadps2",0,1.35315500574785,0.777,0.012,0
"Slc15a5",0,1.93502495102149,0.765,0.012,0
"Lrguk",0,1.46131370396606,0.737,0.039,0
"Homer2",0,2.46461141551966,0.96,0.111,0
"Ech1",0,1.37630364306624,0.728,0.015,0
"Ucp2",0,1.7733979623276,0.86,0.032,0
"Zfhx3",0,1.38426351924891,0.756,0.031,0
"Nfix",0,2.20860682739837,0.919,0.121,0
"Cmip",0,2.44560964166724,0.884,0.024,0
"Tom1",0,1.99837901673895,0.84,0.055,0
"5730403I07Rik",0,1.90122344692355,0.835,0.006,0
"Drd2",0,0.937079627598547,0.684,0.002,0
"Lingo1",0,1.05665236944152,0.788,0.048,0
"Endod1",0,1.64683189664641,0.726,0.003,0
"Pcolce2",0,2.50140915468898,0.912,0.007,0
"Dzip1l",0,1.65216504003529,0.9,0.02,0
"Scn4b",0,2.11756448980757,0.658,0.012,0
"Cnga2",0,2.48275255715909,0.84,0.004,0
"Arxes2",0,0.808066696797289,0.57,0.001,0
"Tspan7",0,2.07523236945694,0.849,0.02,0
"Fam81b",2.91857484197611e-307,1.05919091895331,0.519,0.002,1.52720265756084e-302
"Crip2",2.05985174594176e-304,1.29095473152035,0.747,0.047,1.07785862309894e-299
"Gk5",2.52600337166379e-297,0.929832047334295,0.698,0.035,1.32178178429051e-292
"Hopx",6.08960894418901e-297,1.06335524076403,0.607,0.019,3.18650967222578e-292
"Id3",1.11817845704963e-296,1.38895001539998,0.57,0.013,5.8510924122036e-292
"Cfap298",4.77367716200586e-293,0.98457953688648,0.786,0.06,2.49792204856281e-288
"Gm11992",9.75407939239446e-293,1.35512409858537,0.521,0.006,5.10401712365825e-288
"Mt2",1.72325876498032e-292,1.00014120808652,0.691,0.036,9.01729613951253e-288
"Hsd17b11",5.98659887927279e-292,0.646557333542238,0.519,0.005,3.13260759555707e-287
"Rprm",6.96698519249132e-292,2.15047710213966,0.519,0.006,3.64561434167493e-287
"Gm10432",2.93724428671242e-290,1.24529363374287,0.572,0.015,1.53697181790801e-285
"Lgmn",6.81018112941625e-287,0.752448574804504,0.612,0.022,3.56356347958964e-282
"Dynlt1b",8.38875332048822e-287,1.33015104910431,0.833,0.08,4.38958295001187e-282
"Faim2",9.21802486656081e-285,2.19721503250722,0.784,0.081,4.82351587192527e-280
"Foxj1",1.7223860071172e-283,0.628972293138131,0.486,0.003,9.01272925944219e-279
"Ptpn13",2.99248059457212e-283,0.711152473343561,0.556,0.013,1.56587532072175e-278
"Ier2",9.44240812966544e-283,0.906902013606249,0.526,0.009,4.94092890201004e-278
"Sub1",3.01155598046459e-280,2.72567057834492,0.914,0.187,1.57585689789771e-275
"Rsph1",2.84493536426868e-279,1.59039454743306,0.872,0.107,1.48866932806087e-274
"Plxna4",2.64906206167791e-277,0.944976239735717,0.591,0.022,1.3861747050142e-272
