"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ivns1abp",0,-0.677531476267463,0.672,0.853,0
"Niban1",0,-0.414454710601926,0.018,0.257,0
"Serpine2",0,-0.480627446823551,0.986,0.994,0
"Sphkap",0,-1.67003008413555,0.013,0.754,0
"Dner",0,1.28052139243312,0.723,0.147,0
"Gm28375",0,-0.16994514434172,0.001,0.119,0
"Gm28438",0,-0.597013289067742,0.275,0.631,0
"Gm6185",0,-0.294803122087239,0.007,0.226,0
"Gm37357",0,-1.35684466620705,0.771,0.928,0
"Batf3",0,-0.558439450460604,0.125,0.426,0
"Usp40",0,-0.578956938359449,0.236,0.598,0
"Traf3ip3",0,-0.798339807787995,0.017,0.274,0
"Nrp2",0,1.99204009926629,0.917,0.212,0
"Sft2d2",0,-0.631399638285422,0.535,0.779,0
"Phlda3",0,-0.271473673378951,0.042,0.257,0
"Mgst3",0,0.875616402358534,0.935,0.852,0
"Resp18",0,0.791398505936966,0.402,0.094,0
"Tstd1",0,0.659582340517176,0.901,0.787,0
"Rd3",0,-1.24946372842121,0.777,0.955,0
"Cpsf6",0,0.826392353762215,0.799,0.674,0
"Hsp90b1",0,-1.28435838201881,0.982,0.997,0
"Zfp365",0,-0.563545859951396,0.103,0.464,0
"Ddit3",0,-0.830603461885586,0.407,0.714,0
"Socs2",0,1.32752277035227,0.94,0.734,0
"Osbpl8",0,-0.840765258733537,0.596,0.855,0
"Ikzf4",0,-0.60171324383854,0.211,0.569,0
"Sgpl1",0,0.785194275062789,0.805,0.58,0
"Phactr2",0,0.867087572272036,0.5,0.04,0
"Chchd10",0,0.699170568193624,0.88,0.764,0
"Abca7",0,-0.879940855564067,0.345,0.736,0
"Cirbp",0,0.736628557442405,0.933,0.86,0
"Oaz1",0,0.573713371650383,0.963,0.917,0
"Gipc3",0,-0.794973774172053,0.171,0.641,0
"H2bu2",0,-0.887290290332069,0.672,0.888,0
"H3f3b",0,0.619408690921481,0.979,0.967,0
"Eif1",0,0.538427477702949,0.978,0.955,0
"Nsg2",0,-0.394283604867311,0.068,0.336,0
"Rnf145",0,-0.600841069640014,0.405,0.711,0
"Rnd2",0,-0.426903605445303,0.161,0.439,0
"Canx",0,-0.733802795658347,0.868,0.955,0
"Lgals9",0,-0.449047338598743,0.036,0.37,0
"Slc22a4",0,-0.174236701647785,0.003,0.156,0
"Acsl6",0,-0.603693201510994,0.624,0.843,0
"Taf15",0,-0.799222728090185,0.565,0.833,0
"Atox1",0,-0.936168063403339,0.117,0.542,0
"Selenom",0,-0.604577190049949,1,1,0
"Gdpd1",0,0.814327688669455,0.648,0.339,0
"Cuedc1",0,-0.517164196102177,0.272,0.581,0
"Slc9a3r1",0,0.63789048047345,0.603,0.321,0
"Hid1",0,-0.680882614787073,0.261,0.652,0
"Ppia",0,0.796014276020608,0.947,0.892,0
"Cobl",0,0.518768815797629,0.36,0.048,0
