"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cox20",0,0.556722119940929,0.546,0.085,0
"Ap1s3",0,-1.54773840800298,0.907,0.922,0
"Cspp1",0,-1.41697689268805,0.845,0.812,0
"Acbd6",0,0.530736505691217,0.64,0.138,0
"H3f3a",0,1.3391249491182,0.953,0.508,0
"Rpl7",0,1.17279414729429,0.864,0.296,0
"Eloc",0,0.962356395132618,0.79,0.179,0
"Srp9",0,0.581141372002059,0.712,0.194,0
"Ptma",0,1.35950432231377,0.996,0.742,0
"Pde6d",0,0.938615654134525,0.825,0.273,0
"Hspd1",0,0.671020278798273,0.689,0.159,0
"2810025M15Rik",0,0.626939488800122,0.617,0.123,0
"Sdhaf4",0,0.952534733180757,0.725,0.123,0
"Mrps14",0,0.651360724497705,0.728,0.191,0
"Cacybp",0,1.16998797830003,0.808,0.183,0
"Ndufb3",0,1.40551266726745,0.913,0.261,0
"Sumo1",0,0.901561925556595,0.732,0.148,0
"Snrpe",0,0.782421237367443,0.719,0.152,0
"Eef1b2",0,0.969240213640072,0.803,0.201,0
"Cops9",0,1.11675962071085,0.817,0.176,0
"Cox5b",0,1.49370890060298,0.94,0.31,0
"Hdlbp",0,0.761785366377789,0.967,0.62,0
"Mrpl30",0,0.667469306644253,0.624,0.105,0
"Ndufs2",0,0.575385681701797,0.598,0.113,0
"Tcea1",0,0.644301745950743,0.807,0.271,0
"Rpl37a",0,1.595826124405,0.992,0.536,0
"Nhlh1",0,0.84684865233211,0.849,0.353,0
"Arpc2",0,0.979109810086617,0.835,0.27,0
"Dbi",0,1.02535072339919,0.76,0.211,0
"Ufc1",0,0.756712593016278,0.688,0.138,0
"Pfdn2",0,0.906620030102663,0.843,0.227,0
"Tstd1",0,1.3580351140871,0.901,0.26,0
"Cct2",0,0.828152031940698,0.75,0.182,0
"Rwdd1",0,0.58408597942279,0.625,0.122,0
"Marcks",0,0.767754377854431,0.934,0.434,0
"Llph",0,0.651700918991234,0.671,0.139,0
"Snx3",0,0.811256169133944,0.722,0.159,0
"Snrpf",0,0.537571591046835,0.504,0.067,0
"Ube2n",0,0.975846978389997,0.802,0.214,0
"Naca",0,1.2696812517824,0.919,0.349,0
"Ptges3",0,0.756428442280078,0.778,0.219,0
"Atp5b",0,0.944485591578365,0.778,0.236,0
"Atxn7l3b",0,1.10682624575359,0.968,0.474,0
"Myl6",0,1.55641299334585,0.954,0.375,0
"Rpl41",0,1.61840966702803,0.998,0.789,0
"Rps26",0,1.13275945798969,0.929,0.352,0
"5330438D12Rik",0,0.683330329753809,0.663,0.134,0
"Sf3b5",0,0.605303314916864,0.658,0.141,0
"Ppa1",0,0.876167143593473,0.753,0.202,0
"Snrpd3",0,0.745044227096215,0.678,0.115,0
"Ddt",0,0.594555803000612,0.561,0.083,0
"Chchd10",0,1.44190407997747,0.88,0.249,0
"Rrp1",0,0.640269164909421,0.74,0.211,0
"Cstb",0,0.522122467350111,0.56,0.09,0
"Tpgs1",0,0.575730099820744,0.593,0.108,0
"Gpx4",0,1.33135107206221,0.893,0.225,0
"Atp5d",0,1.17127744938443,0.866,0.232,0
"Cirbp",0,1.10570680872336,0.933,0.462,0
"Rps15",0,1.47372653325234,0.985,0.471,0
"Uqcr11",0,1.36082351498436,0.933,0.257,0
"Abhd17a",0,0.950383394316742,0.847,0.291,0
"Oaz1",0,1.35193085105411,0.963,0.501,0
"Timm13",0,1.04719680149747,0.836,0.191,0
"Eef2",0,1.01507219716427,0.936,0.419,0
"Mrpl54",0,0.919919972227286,0.765,0.141,0
"Psmb3",0,0.856647048692783,0.818,0.26,0
"Rpl23",0,1.2842241700861,0.973,0.554,0
"Rpl19",0,1.28615838863686,0.946,0.337,0
"Mien1",0,1.17682978091712,0.818,0.181,0
"Ywhae",0,1.44454688755147,0.977,0.467,0
"Cfap36",0,1.05240273232812,0.901,0.313,0
"Rps27a",0,0.965922354406116,0.796,0.183,0
"H3f3b",0,1.57814842949423,0.979,0.656,0
"Bod1",0,0.776350638084653,0.763,0.218,0
"Eif1",0,1.64750195582191,0.978,0.556,0
"Mat2b",0,0.779362963643026,0.869,0.359,0
"Tnrc6c",0,-1.07705019267408,0.972,0.937,0
"Coa3",0,0.881819692180054,0.693,0.108,0
"Rack1",0,1.08658865673683,0.846,0.284,0
"Rpl27",0,0.772291194900573,0.637,0.123,0
"Rpl23a",0,0.663768682491516,0.632,0.122,0
"Ubb",0,1.86142529965471,0.978,0.522,0
"2410006H16Rik",0,0.842992151299232,0.727,0.162,0
"Aldoc",0,0.624131073331807,0.512,0.06,0
"Sqstm1",0,0.687899169620663,0.68,0.138,0
"Actg1",0,0.927865823124909,0.876,0.351,0
"Hnrnpab",0,0.638593366782918,0.732,0.176,0
"Alyref",0,0.51938112145082,0.578,0.105,0
"Skp1",0,1.05728451817963,0.886,0.259,0
"Vdac1",0,1.09554937359668,0.896,0.283,0
"Hspa4",0,0.61671911034472,0.731,0.205,0
"Uqcrq",0,1.60365563071211,0.953,0.293,0
"Rpl26",0,1.60284169700888,0.846,0.285,0
"Slc25a39",0,0.551082005478174,0.591,0.113,0
