"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cyb5r1",0,-0.909196688339775,0.003,0.635,0
"B230216N24Rik",0,-1.88517373912982,0.15,0.877,0
"Ric8b",0,-1.97052786209629,0.05,0.851,0
"Smpdl3a",0,-0.623918241960475,0.016,0.544,0
"Ppp1r14c",0,-1.99445049734574,0.018,0.798,0
"Fam183b",0,-0.779540635673141,0.005,0.377,0
"Ormdl3",0,-1.79496596171453,0.126,0.823,0
"Foxj1",0,-0.631439042609051,0.004,0.486,0
"Etv4",0,-0.803877970159021,0.001,0.37,0
"Gprc5c",0,-0.664154894859452,0.008,0.505,0
"Tekt1",0,-0.533372099992782,0.007,0.442,0
"Gm10432",0,-1.26881366980028,0.041,0.572,0
"Hdac9",0,-1.22037390203678,0.016,0.66,0
"Lgmn",0,-0.834786621780269,0.018,0.612,0
"Rgs6",0,-0.610756202751974,0.009,0.398,0
"Adcy3",0,-0.783897569725418,0.01,0.467,0
"Stmnd1",0,-0.797468696281806,0.002,0.46,0
"Id4",0,-2.21734333429771,0.03,0.879,0
"Fam81b",0,-1.06608606889009,0.002,0.519,0
"Iqgap2",0,-0.708978127981521,0.006,0.507,0
"Galnt15",0,-0.534703401064777,0.005,0.388,0
"Abcd2",0,-0.727850726597277,0.01,0.514,0
"Tmem117",0,-0.932399327419945,0.073,0.695,0
"Cfap44",0,-0.614277695191101,0.016,0.444,0
"4930483P17Rik",0,-0.491075273739595,0.002,0.435,0
"Rtp1",0,-1.79705750709173,0.067,0.888,0
"Mslnl",0,-1.78141788443396,0.022,0.665,0
"Galnt14",0,-1.0609400625889,0.013,0.691,0
"Gnal",0,-4.2895448278824,0.031,0.956,0
"Cidea",0,-1.90786456354646,0.007,0.798,0
"Ndfip1",0,-3.03307608469997,0.079,0.919,0
"1700028P14Rik",0,-0.494539775823027,0.003,0.414,0
"Ina",0,-1.20867911626774,0.015,0.507,0
"Fam107b",0,-0.696272209436327,0.032,0.586,0
"Creb3l1",0,-0.675689344837035,0.001,0.44,0
"Slc1a2",0,-1.18525880382933,0.004,0.465,0
"Ebf4",0,-1.26586405006664,0.002,0.774,0
"Acss1",0,-0.447625192119522,0.006,0.374,0
"Rprm",0,-2.17853697352363,0.006,0.519,0
"Stoml3",0,-5.52771936554823,0.016,0.888,0
"Pifo",0,-1.02388823580363,0.008,0.633,0
"Kcnc4",0,-1.45981783344211,0.034,0.572,0
"S100a5",0,-6.65778344054301,0.082,0.858,0
"Rgs3",0,-0.74665891755183,0.026,0.602,0
"Nfib",0,-1.97601033445301,0.034,0.895,0
"Id3",0,-1.45257255063784,0.008,0.57,0
"Cfap206",0,-0.91878417118263,0.055,0.665,0
